id;name;unit_price;description;image_url
ed4484bd-9766-4ed6-9b99-0280370149f7;continually;10250.33;ew grandson pilgrim;between create huzzah
8ecf6df6-5473-4628-af80-4f428a59e315;pfft;18851.94;a ease director;when disagree courageously
cfc84194-1b54-4233-b585-2b2ed6df3933;yippee;12692.97;now unless;ah who yuck
dc8ee155-6ac8-416f-b344-31329269610f;ah likewise fooey;25106.72;absentmindedly;down
50328f53-bd40-4ea4-9be2-ecd2a6f6feba;madly yowza er;30500.53;glass woot ew;shed skullduggery
1731a1e9-f075-4b7e-a669-dfdc8a7c90fc;slake pish refloat;8692.58;brr majestically;phew
f3a1c3d3-6390-4f5c-ab6f-d74cc32a759a;proper;29284.59;toward;boohoo yum finally
dd708703-5ea1-4484-af28-9c7260db52f3;cold;29314.95;victoriously sadly supposing;so why if
31f2bba5-2e3a-4e8f-acfc-c27c3dbfecf8;within via perforate;24239.65;jewellery;wreak than
6d537260-5d39-495a-88a3-4718b952aa40;next brilliant hilarious;31677.56;badly slim;miserably perfumed
